latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-10.62659,123.33361,331.22,0.37,0.58,2026-08-25,453,N,VIIRS,l,2.0NRT,304.99,4.87,D
-10.62615,123.3371,355.89,0.37,0.58,2026-08-25,453,N,VIIRS,n,2.0NRT,305.55,5.65,D
-10.62569,123.34064,330.48,0.37,0.58,2026-08-25,453,N,VIIRS,l,2.0NRT,303.32,5.65,D
-10.31974,123.56058,331.04,0.36,0.57,2026-08-25,453,N,VIIRS,n,2.0NRT,301.03,1.72,D
-10.31019,123.55034,338.9,0.36,0.57,2026-08-25,453,N,VIIRS,n,2.0NRT,301.17,2.63,D
-10.15862,124.36085,343.2,0.63,0.54,2026-08-25,453,N,VIIRS,n,2.0NRT,303.63,7.61,D
-10.15279,124.08598,347.61,0.33,0.55,2026-08-25,453,N,VIIRS,n,2.0NRT,299.98,3.32,D
-10.14161,120.12004,340.64,0.6,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,297.16,5.43,D
-10.07478,123.94321,342.86,0.33,0.56,2026-08-25,453,N,VIIRS,n,2.0NRT,300.86,2.35,D
-10.03571,120.18697,338.96,0.6,0.7,2026-08-25,453,N,VIIRS,n,2.0NRT,300.77,4.05,D
-10.00943,120.14038,330.85,0.6,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,299.12,5.64,D
-10.00755,120.14262,334.3,0.6,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,299.53,4.46,D
-9.98376,120.13131,330.37,0.6,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,298.27,3.92,D
-9.96955,123.72725,334.73,0.34,0.56,2026-08-25,453,N,VIIRS,n,2.0NRT,301.11,3.69,D
-9.90978,123.77705,367,0.34,0.56,2026-08-25,453,N,VIIRS,h,2.0NRT,294.47,3.81,D
-9.90058,123.8071,329.85,0.34,0.56,2026-08-25,453,N,VIIRS,n,2.0NRT,298.52,1.36,D
-9.8852,124.16338,335.32,0.32,0.55,2026-08-25,453,N,VIIRS,n,2.0NRT,299.01,1.5,D
-9.87258,123.7775,341.97,0.34,0.56,2026-08-25,453,N,VIIRS,n,2.0NRT,299.5,2.83,D
-9.86944,123.84354,335.96,0.34,0.56,2026-08-25,453,N,VIIRS,n,2.0NRT,302.78,3.23,D
-9.80942,119.9848,335.81,0.61,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,297.03,4.35,D
-9.76363,124.24023,336.21,0.63,0.54,2026-08-25,453,N,VIIRS,n,2.0NRT,297.36,5.39,D
-9.7524,119.91919,333,0.62,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,295.97,6.38,D
-9.7457,119.9186,349.96,0.62,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,297.91,10.13,D
-9.65157,123.75932,367,0.34,0.56,2026-08-25,453,N,VIIRS,h,2.0NRT,296.41,20.31,D
-9.62479,119.99887,355.5,0.61,0.71,2026-08-25,453,N,VIIRS,n,2.0NRT,301.6,11.34,D
-9.55409,119.70916,335.52,0.63,0.72,2026-08-25,453,N,VIIRS,n,2.0NRT,296.9,3.44,D
-9.49943,120.16193,332.57,0.59,0.7,2026-08-25,453,N,VIIRS,n,2.0NRT,299.99,5.54,D
-9.47953,119.57525,367,0.64,0.72,2026-08-25,453,N,VIIRS,h,2.0NRT,296.68,19.67,D
-9.47884,119.581,350.42,0.64,0.72,2026-08-25,453,N,VIIRS,n,2.0NRT,298.5,21.74,D
-9.47282,119.57377,367,0.64,0.72,2026-08-25,453,N,VIIRS,h,2.0NRT,296.27,20.12,D
-9.47213,119.57952,348.6,0.64,0.72,2026-08-25,453,N,VIIRS,n,2.0NRT,298.43,23.78,D
-9.1174,125.10461,333.62,0.54,0.51,2026-08-25,453,N,VIIRS,n,2.0NRT,300.74,5.26,D
-9.04284,125.79324,334.43,0.49,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,297.96,4.28,D
-9.04111,125.78971,336.71,0.49,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,298.94,2.68,D
-9.01459,125.2151,332.22,0.53,0.5,2026-08-25,453,N,VIIRS,n,2.0NRT,306.51,3.81,D
-8.93183,125.33578,355.82,0.52,0.5,2026-08-25,453,N,VIIRS,n,2.0NRT,304.19,9.75,D
-8.76926,140.59459,346.95,0.63,0.54,2026-08-25,453,N,VIIRS,n,2.0NRT,293.5,9.09,D
-8.76733,140.59714,342.06,0.63,0.54,2026-08-25,453,N,VIIRS,n,2.0NRT,292.62,9.65,D
-8.70434,125.73763,342.36,0.49,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,294.89,32,D
-8.69936,125.74057,349.43,0.48,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,297.11,32,D
-8.6791,125.82106,332.77,0.48,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,302.72,3.74,D
-8.65525,125.89533,328.45,0.47,0.48,2026-08-25,453,N,VIIRS,l,2.0NRT,300.02,7.73,D
-8.65472,125.89924,337.9,0.47,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,300.67,4.97,D
-8.65029,125.89861,335.43,0.47,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,301.08,4.97,D
-8.64283,125.68607,331.82,0.49,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,302.66,4.51,D
-8.64068,126.25568,328.48,0.45,0.47,2026-08-25,453,N,VIIRS,l,2.0NRT,303.14,3.54,D
-8.64051,125.70339,341.36,0.49,0.48,2026-08-25,453,N,VIIRS,n,2.0NRT,298.5,5.81,D
-8.63081,126.20023,329.47,0.45,0.47,2026-08-25,453,N,VIIRS,l,2.0NRT,301.4,1.8,D
-8.62936,125.98553,330.48,0.47,0.47,2026-08-25,453,N,VIIRS,l,2.0NRT,303.5,5.41,D
-8.55125,126.36297,345.17,0.44,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,307.96,6.17,D
